,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand,life_expectancy,human_development_index
150,Europe,Serbia,49205.0,802.0,1339.714,833.0,7.0,5.7139999999999995,7231.142,117.86200000000001,196.88400000000001,122.417,1.0290000000000001,,6804596.0,80.291,41.2,17.366,,14048.881000000001,,439.415,10.08,5.609,76.0,0.787
151,Africa,South Sudan,2926.0,0.0,6.143,59.0,0.0,0.429,261.39599999999996,0.0,0.5489999999999999,5.271,0.0,,11193729.0,,19.2,3.4410000000000003,2.032,1569.888,,280.775,10.43,,57.85,0.38799999999999996
152,Africa,Sao Tome and Principe,949.0,0.0,1.143,16.0,0.0,0.14300000000000002,4330.15,0.0,5.215,73.006,0.0,,219161.0,212.84099999999998,18.7,2.886,2.162,3052.7140000000004,32.3,270.113,2.42,2.9,70.39,0.589
153,South America,Suriname,5212.0,2.0,4.571000000000001,111.0,0.0,0.14300000000000002,8884.586,3.409,7.792999999999999,189.215,0.0,68.52,586634.0,3.612,29.6,6.933,4.229,13767.118999999999,,258.314,12.54,3.1,71.68,0.72
154,Europe,Slovakia,61829.0,1883.0,2382.0,219.0,0.0,7.7139999999999995,11324.733,344.894,436.292,40.113,0.0,73.15,5459643.0,113.12799999999999,41.2,15.07,9.167,30155.152000000002,0.7,287.959,7.29,5.82,77.54,0.855
155,Europe,Slovenia,36206.0,557.0,1732.286,251.0,15.0,9.0,17415.673,267.926,833.258,120.735,7.215,68.52,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,4.5,81.32,0.8959999999999999
156,Europe,Sweden,134897.0,1570.0,2711.2859999999996,6046.0,18.0,11.571,13357.104,155.457,268.464,598.6569999999999,1.7819999999999998,55.56,10099270.0,24.718000000000004,41.0,19.985,13.433,46949.282999999996,0.5,133.982,4.79,2.22,82.8,0.9329999999999999
157,Africa,Swaziland,5929.0,4.0,9.429,117.0,0.0,0.14300000000000002,5110.484,3.448,8.127,100.848,0.0,48.15,1160164.0,79.492,21.5,3.1630000000000003,1.845,7738.975,,333.436,3.94,2.1,60.19,0.588
158,Africa,Seychelles,155.0,2.0,0.28600000000000003,,0.0,0.0,1576.164,20.338,2.905,,0.0,,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,3.6,73.4,0.797
159,Asia,Syria,5843.0,54.0,54.571000000000005,295.0,3.0,3.286,333.87300000000005,3.0860000000000003,3.1180000000000003,16.857,0.171,40.74,17500657.0,,21.7,,2.577,,,376.264,,1.5,72.7,0.536
