"","location","continent","development","total_cases_per_million","new_cases_per_million","total_deaths_per_million","stringency_index","population","population_density","median_age","aged_65_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","hospital_beds_per_thousand","life_expectancy","human_development_index"
"27","Bhutan","Asia","medium",461.372,2.592,20.117,77.78,771612,21.188,28.6,4.885,8708.597,1.5,217.066,9.75,1.7,71.78,0.612
"28","Botswana","Africa","high",2824.43,0,10.206,52.78,2351625,4.044,25.8,3.941,15807.374,1.7,237.372,4.81,1.8,69.59,0.717
"29","Central African Republic","Africa","low",1007.503,0,12.837,43.52,4829764,7.479,18.3,3.655,661.24,71.4,435.727,6.1,1,53.28,0.367
"30","Canada","North America","very high",6365.905,90.668,270.467,60.65,37742157,4.037,41.4,16.984,44017.591,0.5,105.599,7.37,2.5,82.43,0.926
"31","Switzerland","Europe","very high",20286.28,2523.739,245.88,50.93,8654618,214.243,43.1,18.436,57410.166,0.5,99.739,5.59,4.53,83.78,0.944
"32","Chile","South America","very high",26845.699,69.261,748.161,76.39,19116209,24.282,35.4,11.087,22767.037,1.3,127.993,8.46,2.11,80.18,0.843
"33","China","Asia","high",63.499,0.034,3.293,63.43,1439323774,147.674,38.7,10.641,15308.712,0.7,261.899,9.74,4.34,76.91,0.752
"34","Cote d'Ivoire","Africa","low",786.746,1.403,4.777,34.26,26378275,76.399,18.7,2.933,3601.006,28.2,303.74,2.42,0.3,57.78,0.492
"35","Cameroon","Africa","medium",820.957,0,16.048,45.37,26545864,50.885,18.8,3.165,3364.926,23.8,244.661,7.2,1.3,59.29,0.556
"36","Democratic Republic of Congo","Africa","low",126.974,0.011,3.428,50.93,89561404,35.879,17,3.02,808.133,77.1,318.949,6.1,0.4,60.68,0.457
"37","Congo","Africa","medium",958.665,0,16.672,47.22,5518092,15.405,19,3.402,4881.406,37,344.094,7.2,1.3,64.57,0.606
"38","Colombia","South America","high",21485.732,195.252,622.41,65.74,50882884,44.223,32.2,7.646,13254.949,4.5,124.24,7.44,1.71,77.29,0.747
